,ddc,주류(한글),강목(한글),요목(한글),세목(한글)
440,215.2,종교,철학과 종교이론,과학과 종교,천문학
441,215.3,종교,철학과 종교이론,과학과 종교,물리학
442,215.7,종교,철학과 종교이론,과학과 종교,생명 과학
443,218,종교,철학과 종교이론,인류,인류
444,220,성경과 특정 종교,성경,성경,성경
445,220.01-220.02,성경과 특정 종교,성경,성경,표준 세분
446,220[.03],성경과 특정 종교,성경,성경,"사전, 백과사전, 색인"
447,220.04,성경과 특정 종교,성경,성경,성경의 특별 주제
448,220.05-220.08,성경과 특정 종교,성경,성경,표준 세분
449,220.09,성경과 특정 종교,성경,성경,"역사, 지리적 처리, 전기"
450,220.1-220.9,성경과 특정 종교,성경,성경,일반사항
451,221-229,성경과 특정 종교,성경,"성경의 특정 부분, 외경, 위경, 신구약 중간서","성경, 외경, 위경, 구약 중간기의 작품의 특정 부분"
452,221,성경과 특정 종교,성경,"성경의 특정 부분, 외경, 위경, 신구약 중간서",구약성서(타나크)
453,222-224,성경과 특정 종교,성경,"성경의 특정 부분, 외경, 위경, 신구약 중간서",구약성서
454,225,성경과 특정 종교,성경,"성경의 특정 부분, 외경, 위경, 신구약 중간서",신약 성서
455,226,성경과 특정 종교,성경,"성경의 특정 부분, 외경, 위경, 신구약 중간서",*복음과 사도행전
456,227,성경과 특정 종교,성경,"성경의 특정 부분, 외경, 위경, 신구약 중간서",*서신서
457,228,성경과 특정 종교,성경,"성경의 특정 부분, 외경, 위경, 신구약 중간서",*계시(묵시록)
458,229,성경과 특정 종교,성경,"성경의 특정 부분, 외경, 위경, 신구약 중간서","*외경, 위경, 중간서 작품"
459,230,기독교,기독교,기독교,기독교
460,230[.001],기독교,기독교,기독교,기독교의 철학과 이론
461,230.002-230.003,기독교,기독교,기독교,기독교의 표준 세분
462,230.005,기독교,기독교,기독교,기독교 연속 출판물
463,230[.006],기독교,기독교,기독교,기독교의 조직과 관리
464,230.007,기독교,기독교,기독교,"교육, 연구, 기독교 관련 주제"
465,230[.008],기독교,기독교,기독교,기독교에 있는 사람들의 그룹
466,230[.009],기독교,기독교,기독교,"기독교의 역사, 지리학, 전기"
467,230.01,기독교,기독교,기독교,"기독교의 철학과 이론, 기독교 신학"
468,230.02-230.03,기독교,기독교,기독교,기독교 신학의 표준 세분
469,230.04,기독교,기독교,기독교,기독교 신학의 특정 유형
470,230.05-230.06,기독교,기독교,기독교,기독교 신학의 표준 세분
471,230.07,기독교,기독교,기독교,"기독교 신학의 교육, 연구, 관련 주제"
472,230.08-230.09,기독교,기독교,기독교,기독교 신학의 표준 세분
473,230.1-230.9,기독교,기독교,기독교,특정 교파와 종파의 교리
474,231-239,기독교,기독교,기독교 교리 신학,기독교 교리 신학
475,231-236,기독교,기독교,기독교 교리 신학,기독교 교리 신학의 특정 주제
476,[237],기독교,기독교,기독교 교리 신학,[할당되지 않음]
477,238,기독교,기독교,기독교 교리 신학,"신조, 신앙고백, 성약, 교리문답"
478,239,기독교,기독교,기독교 교리 신학,변증과 논쟁
479,240,기독교,기독교 실천 및 준수,기독교 도덕과 헌신 신학,기독교 도덕과 헌신 신학
480,241,기독교,기독교 실천 및 준수,기독교윤리,기독교윤리
481,241.04,기독교,기독교 실천 및 준수,기독교윤리,"특정 지점, 교파, 종파"
482,241.1,기독교,기독교 실천 및 준수,기독교윤리,양심
483,241.2,기독교,기독교 실천 및 준수,기독교 윤리,도덕의 법칙과 기초
484,241.3,기독교,기독교 실천 및 준수,기독교윤리,죄와 악
485,241.4,기독교,기독교 실천 및 준수,기독교윤리,미덕
486,241.5,기독교,기독교 실천 및 준수,기독교윤리,행동 강령
487,241.6,기독교,기독교 실천 및 준수,기독교윤리,구체적인 도덕적 문제
488,242,기독교,기독교 실천 및 준수,신앙문학,신앙문학
489,242.08,기독교,기독교 실천 및 준수,신앙문학,사람들의 그룹
490,242.2,기독교,기독교 실천 및 준수,신앙문학,일상에 사용할 수 있는 기도와 명상
491,242.3,기독교,기독교 실천 및 준수,신앙문학,"교회력, 기타 기독교 절기와 금식일을 위한 기도와 묵상"
492,242.4,기독교,기독교 실천 및 준수,신앙문학,"질병, 어려움, 사별의 시기에 사용하기 위한 기도와 묵상"
493,242.5,기독교,기독교 실천 및 준수,신앙문학,성경 구절을 바탕으로 한 기도와 묵상
494,242.6,기독교,기독교 실천 및 준수,신앙문학,특정 그룹의 사람들을 위한 기도와 명상
495,242.7,기독교,기독교 실천 및 준수,신앙문학,특정 기도와 기도 그룹
496,242.8,기독교,기독교 실천 및 준수,신앙문학,기도 모음집
497,243,기독교,기독교 실천 및 준수,개인과 가족을 위한 복음주의 저서,개인과 가족을 위한 복음주의 저서
498,246,기독교,기독교 실천 및 준수,기독교 미술의 활용,기독교 미술의 활용
499,246.1-246.4,기독교,기독교 실천 및 준수,기독교 미술의 활용,학교와 스타일
500,246.5-246.9,기독교,기독교 실천 및 준수,기독교 미술의 활용,특정 요소
501,247,기독교,기독교 실천 및 준수,교회 가구 및 관련 물품,교회 가구 및 관련 물품
502,247.1,기독교,기독교 실천 및 준수,교회 가구 및 관련 물품,가구
503,248,기독교,기독교 실천 및 준수,"그리스도인의 경험, 실천, 삶","그리스도인의 경험, 실천, 삶"
504,248.06,기독교,기독교 실천 및 준수,"그리스도인의 경험, 실천, 삶",조직 및 경영진
505,248.0882819,기독교,기독교 실천 및 준수,"그리스도인의 경험, 실천, 삶",영성--정교회 기독교인
506,248.2,기독교,기독교 실천 및 준수,"그리스도인의 경험, 실천, 삶",종교적 체험
507,248.3,기독교,기독교 실천 및 준수,"그리스도인의 경험, 실천, 삶",예배
508,248.4,기독교,기독교 실천 및 준수,"그리스도인의 경험, 실천, 삶",그리스도인의 삶과 실천
509,248.5,기독교,기독교 실천 및 준수,"그리스도인의 경험, 실천, 삶",증인의 증언
510,248.6,기독교,기독교 실천 및 준수,"그리스도인의 경험, 실천, 삶",청지기직
511,248.8,기독교,기독교 실천 및 준수,"그리스도인의 경험, 실천, 삶",특정 집단의 사람들을 위한 그리스도인 생활 지침서
512,249,기독교,기독교 실천 및 준수,가정생활 속의 기독교적 의식,가정 생활에서의 그리스도인 준수 사항
513,250,기독교,기독교 목회 활동 및 종교 명령,지역 기독교 교회와 기독교 종교 단체,지역 기독교 교회와 기독교 종교 단체
514,250[.68],기독교,기독교 목회 활동 및 종교 명령,지역 기독교 교회와 기독교 종교 단체,관리
515,250.9,기독교,기독교 목회 활동 및 종교 명령,지역 기독교 교회와 기독교 종교 단체,"역사, 지리적 처리, 전기"
516,251-254,기독교,기독교 목회 활동 및 종교 명령,지역 교회,지역 교회
517,251,기독교,기독교 목회 활동 및 종교 명령,지역 교회,설교(설교)
518,252,기독교,기독교 목회 활동 및 종교 명령,지역 교회,설교 본문
519,253,기독교,기독교 목회 활동 및 종교 명령,지역 교회,목회사업(목회신학)
520,254,기독교,기독교 목회 활동 및 종교 명령,지역 교회,지역교회 행정
521,255,기독교,기독교 목회 활동 및 종교 명령,종교 단체 및 조직,종교 단체 및 조직
522,255.001-255.009,기독교,기독교 목회 활동 및 종교 명령,종교 단체 및 조직,표준 세분
523,255.01-255.09,기독교,기독교 목회 활동 및 종교 명령,종교 단체 및 조직,특정 종류의 회중과 명령
524,255.1-255.7,기독교,기독교 목회 활동 및 종교 명령,종교 단체 및 조직,로마 가톨릭 남자단
525,255.8,기독교,기독교 목회 관행 및 수도회,종교 단체 및 조직,로마 카톨릭이 아닌 남성의 명령
526,255.9,기독교,기독교 목회 활동 및 종교 명령,종교 단체 및 조직,여성의 회중과 명령
527,259,기독교,기독교 목회 활동 및 종교 명령,"가족, 특정 집단의 사람들에 대한 사목적 보살핌",가정과 특정 집단의 사목적 돌봄
528,259[.01-259.07],기독교,기독교 목회 활동 및 종교 명령,가정과 특정 집단의 사목적 돌봄,표준 세분
529,259.08,기독교,기독교 목회 활동 및 종교 명령,가정과 특정 집단의 사목적 돌봄,사람들의 그룹
530,259[.09],기독교,기독교 목회 활동 및 종교 명령,가정과 특정 집단의 사목적 돌봄,"역사, 지리적 처리, 전기"
531,259.1,기독교,기독교 목회 활동 및 종교 명령,가정과 특정 집단의 사목적 돌봄,가정 사목적 돌봄
532,259.2,기독교,기독교 목회 활동 및 종교 명령,가정과 특정 집단의 사목적 돌봄,청소년을 위한 사목적 돌봄
533,259.3,기독교,기독교 목회 관행 및 수도회,"가족, 특정 집단의 사람들에 대한 사목적 보살핌",노년기 사람들에 대한 사목적 돌봄
534,259.4,기독교,기독교 목회 활동 및 종교 명령,가정과 특정 집단의 사목적 돌봄,신체적 또는 정신적 질환을 앓고 있는 장애인에 대한 사목적 돌봄
535,259.5,기독교,기독교 목회 활동 및 종교 명령,가정과 특정 집단의 사목적 돌봄,반사회적이고 비사회적인 사람들에 대한 목회적 돌봄
536,259.6,기독교,기독교 목회 활동 및 종교 명령,가정과 특정 집단의 사목적 돌봄,유족에 대한 목회적 돌봄
537,260,기독교,"기독교 조직, 사회 사업 및 예배",기독교 사회 및 교회 신학,기독교 사회 및 교회 신학
538,260.9,기독교,"기독교 조직, 사회 사업 및 예배",기독교 사회 및 교회 신학,"역사, 지리적 처리, 전기"
539,261,기독교,"기독교 조직, 사회 사업 및 예배",사회신학과 종교간 관계 및 태도,사회신학과 종교간 관계 및 태도
540,261.0882804,기독교,"기독교 조직, 사회 사업 및 예배",사회신학과 종교간 관계 및 태도,사회신학-개신교
541,261.0882819,기독교,"기독교 조직, 사회 사업 및 예배",사회신학과 종교간 관계 및 태도,사회신학 - 정통 기독교인
542,261.1,기독교,"기독교 조직, 사회 사업 및 예배",사회신학과 종교간 관계 및 태도,사회에서 기독교 교회의 역할
543,261.2,기독교,"기독교 조직, 사회 사업 및 예배",사회신학과 종교간 관계 및 태도,기독교와 기타 신앙 체계
544,261.5,기독교,"기독교 조직, 사회 사업 및 예배",사회신학과 종교간 관계 및 태도,기독교와 세속 학문
545,261.7,기독교,"기독교 조직, 사회 사업 및 예배",사회신학과 종교간 관계 및 태도,기독교와 정치
546,261.8,기독교,"기독교 조직, 사회 사업 및 예배",사회신학과 종교간 관계 및 태도,기독교와 사회경제적 문제
547,262,기독교,"기독교 조직, 사회 사업 및 예배",교회론,교회론
548,262.001,기독교,"기독교 조직, 사회 사업 및 예배",교회론,"철학과 이론, 에큐메니즘, 교회 쇄신"
549,262.002-262.005,기독교,"기독교 조직, 사회 사업 및 예배",교회론,표준 세분
550,262.006,기독교,"기독교 조직, 사회 사업 및 예배",교회론,조직
551,262.007-262.009,기독교,"기독교 조직, 사회 사업 및 예배",교회론,표준 세분
552,262.01-262.09,기독교,"기독교 조직, 사회 사업 및 예배",교회론,"정부와 조직, 특정 교파와 종파의 교회학"
553,262.1,기독교,"기독교 조직, 사회 사업 및 예배",교회론,교회의 통치 지도자들
554,262.3-262.4,기독교,"기독교 조직, 사회 사업 및 예배",교회론,교회 정치의 구체적인 형태
555,262.5,기독교,"기독교 조직, 사회 사업 및 예배",교회론,총회
556,262.7,기독교,"기독교 조직, 사회 사업 및 예배",교회론,교회의 성격
557,262.8,기독교,"기독교 조직, 사회 사업 및 예배",교회론,교회와 사역의 권위와 그 거부
558,262.9,기독교,"기독교 조직, 사회 사업 및 예배",교회론,교회법과 권징
559,263,기독교,"기독교 조직, 사회 사업 및 예배","종교 행사의 요일, 시간, 장소","종교 행사의 요일, 시간, 장소"
560,263.04,기독교,"기독교 조직, 사회 사업 및 예배","종교 행사의 요일, 시간, 장소","종교 행사의 요일, 시간, 장소에 관한 특별 주제"
561,263.1-263.3,기독교,"기독교 조직, 사회 사업 및 예배","종교 행사의 요일, 시간, 장소",안식일과 일요일
562,263.9,기독교,"기독교 조직, 사회 사업 및 예배","종교 행사의 요일, 시간, 장소",교회력 및 기타 요일 및 시간
563,264,기독교,"기독교 조직, 사회 사업 및 예배",공중 예배,공적 예배
564,264.001,기독교,"기독교 조직, 사회 사업 및 예배",공중 예배,철학과 이론
565,264.002-264.009,기독교,"기독교 조직, 사회 사업 및 예배",공적 예배,표준 세분
566,264.01-264.09,기독교,"기독교 조직, 사회 사업 및 예배",공중 예배,교파와 종파에 따른 공적 예배
567,264.1-264.9,기독교,"기독교 조직, 사회 사업 및 예배",공중 예배,특정 요소
568,265,기독교,"기독교 조직, 사회 사업 및 예배","성찬, 기타 의식 및 행위","성찬, 기타 의식 및 행위"
569,265.1-265.7,기독교,"기독교 조직, 사회 사업 및 예배","성찬, 기타 의식 및 행위",성찬
570,265.8,기독교,"기독교 조직, 사회 사업 및 예배","성찬, 기타 의식 및 행위",질병과 죽음의 의식
571,265.9,기독교,"기독교 조직, 사회 사업 및 예배","성찬, 기타 의식 및 행위",기타 행위
572,266,기독교,"기독교 조직, 사회 사업 및 예배",임무,임무
573,266.001-266.008,기독교,"기독교 조직, 사회 사업 및 예배",임무,표준 세분
574,266.009,기독교,"기독교 조직, 사회 사업 및 예배",미션,"역사, 지리적 처리, 전기"
575,266.02,기독교,"기독교 조직, 사회 사업 및 예배",임무,임무의 종류
576,266.1-266.9,기독교,"기독교 조직, 사회 사업 및 예배",임무,특정 교파와 종파의 사명
577,267,기독교,"기독교 조직, 사회 사업 및 예배",종교 활동을 위한 협회,종교 활동을 위한 협회
578,267.1,기독교,"기독교 조직, 사회 사업 및 예배",종교 활동을 위한 협회,남성과 여성 모두를 위한 종교 활동 협회
579,267.2,기독교,"기독교 조직, 사회 사업 및 예배",종교 활동을 위한 협회,남성 협회
580,267.3,기독교,"기독교 조직, 사회 사업 및 예배",종교 활동을 위한 협회,청년기독교협회
581,267.4,기독교,"기독교 조직, 사회 사업 및 예배",종교 활동을 위한 협회,여성 협회
582,267.5,기독교,"기독교 조직, 사회 사업 및 예배",종교 활동을 위한 협회,젊은 여성 기독교 협회
583,267.6,기독교,"기독교 조직, 사회 사업 및 예배",종교 활동을 위한 협회,청년 협회
584,267.7,기독교,"기독교 조직, 사회 사업 및 예배",종교 활동을 위한 협회,소년회
585,267.8,기독교,"기독교 조직, 사회 사업 및 예배",종교 활동을 위한 협회,여자회
586,268,기독교,"기독교 조직, 사회 사업 및 예배",종교 교육,종교 교육
587,268[.068],기독교,"기독교 조직, 사회 사업 및 예배",종교 교육,관리
588,268.08,기독교,"기독교 조직, 사회 사업 및 예배",종교 교육,사람들의 그룹
589,268.092,기독교,"기독교 조직, 사회 사업 및 예배",종교 교육,"교사--종교 교육자--기독교--전기, . . ."
590,268.1,기독교,"기독교 조직, 사회 사업 및 예배",종교 교육,관리
591,268.2,기독교,"기독교 조직, 사회 사업 및 예배",종교 교육,건물 및 장비
592,268.3,기독교,"기독교 조직, 사회 사업 및 예배",종교 교육,인원
593,268.4,기독교,"기독교 조직, 사회 사업 및 예배",종교 교육,특정 집단에 대한 종교 교육
594,268.5,기독교,"기독교 조직, 사회 사업 및 예배",종교 교육,기록과 규칙
595,268.6,기독교,"기독교 조직, 사회 사업 및 예배",종교 교육,교육 및 학습 방법
596,268.7,기독교,"기독교 조직, 사회 사업 및 예배",종교 교육,서비스
597,268.8,기독교,"기독교 조직, 사회 사업 및 예배",종교 교육,"특정 지점, 교파, 종파"
598,269,기독교,"기독교 조직, 사회 사업 및 예배",영적 쇄신,영적 쇄신
599,269.0973,기독교,"기독교 조직, 사회 사업 및 예배",영적 쇄신,영적 부흥--미국
600,269.2,기독교,"기독교 조직, 사회 사업 및 예배",영적 쇄신,복음 전도
601,269.4,기독교,"기독교 조직, 사회 사업 및 예배",영적 쇄신,오순절주의와 은사주의 운동
602,269.6,기독교,"기독교 조직, 사회 사업 및 예배",영적 쇄신,수련회
603,270,기독교,기독교의 역사,"기독교의 역사, 지리학, 전기","기독교의 역사, 지리학, 전기"
604,270.01-270.07,기독교,기독교의 역사,"기독교의 역사, 지리학, 전기",표준 세분
605,270.08,기독교,기독교의 역사,"기독교의 역사, 지리학, 전기",사람들의 그룹
606,270.09,기독교,기독교의 역사,"기독교의 역사, 지리학, 전기","일반적으로 지역, 지역, 장소; 전기"
607,270.1-270.8,기독교,기독교의 역사,"기독교의 역사, 지리학, 전기",역사적 기간
608,271-273,기독교,기독교의 역사,교회사의 특별 주제,교회사의 특별 주제
609,271,기독교,기독교의 역사,교회사의 특별 주제,교회 역사 속의 종교 단체와 조직
610,272,기독교,기독교의 역사,교회사의 특별 주제,교회 역사 속의 박해
611,273,기독교,기독교의 역사,교회사의 특별 주제,일반 교회사의 교리적 논쟁과 이단
612,274-279,기독교,기독교의 역사,"특정 대륙, 국가, 지역별 기독교","특정 대륙, 국가, 지역별 기독교"
613,274,기독교,기독교의 역사,"특정 대륙, 국가, 지역별 기독교",유럽의 기독교
614,275,기독교,기독교의 역사,"특정 대륙, 국가, 지역별 기독교",아시아의 기독교
615,276,기독교,기독교의 역사,"특정 대륙, 국가, 지역별 기독교",아프리카의 기독교
616,277,기독교,기독교의 역사,"특정 대륙, 국가, 지역별 기독교",북미의 기독교
617,278,기독교,기독교의 역사,"특정 대륙, 국가, 지역별 기독교",남아메리카의 기독교
618,279,기독교,기독교의 역사,"특정 대륙, 국가, 지역별 기독교","오스트레일리아, 태평양 섬, 대서양 섬, 북극 섬, 남극 대륙의 기독교"
619,280,기독교,기독교 교파,기독교 교회의 교파와 종파,기독교 교회의 교파와 종파
620,280.01-280.03,기독교,기독교 종파,기독교 교회의 교파와 종파,표준 하위 구분
621,280.04,기독교,기독교 종파,기독교 교회의 교파와 종파,기독교 교회의 교파와 종파에 관한 특별 주제
622,280.05-280.09,기독교,기독교 교파,기독교 교회의 교파와 종파,표준 세분
623,280.2-280.4,기독교,기독교 종파,기독교 교회의 교파와 종파,지점
624,281-289,기독교,기독교 종파,특정 교파 또는 종파,특정 종파 또는 종파
625,281,기독교,기독교 종파,특정 종파 또는 종파,초대교회와 동방교회
626,282,기독교,기독교 종파,특정 종파 또는 종파,로마 가톨릭 교회
627,283-289,기독교,기독교 종파,특정 종파 또는 종파,개신교와 기타 종파
628,290,성경과 특정 종교,다른 종교,다른 종교,다른 종교
629,292,성경과 특정 종교,다른 종교,고전 종교(그리스 및 로마 종교),고전 종교(그리스 및 로마 종교)
630,292.001-292.005,성경과 특정 종교,다른 종교,고전 종교(그리스 및 로마 종교),표준 세분
631,292[.006],성경과 특정 종교,다른 종교,고전 종교(그리스 및 로마 종교),조직 및 경영진
632,292.007,성경과 특정 종교,다른 종교,고전 종교(그리스 및 로마 종교),"교육, 연구, 관련 주제"
633,292.008-292.009,성경과 특정 종교,다른 종교,고전 종교(그리스 및 로마 종교),표준 세분
634,292.07-292.08,성경과 특정 종교,다른 종교,고전 종교(그리스 및 로마 종교),특정 문화에 따른 고전 종교
635,292.1-292.9,성경과 특정 종교,다른 종교,고전 종교(그리스 및 로마 종교),특정 요소
636,293,성경과 특정 종교,다른 종교,†게르만 종교,†게르만 종교
637,293.13,성경과 특정 종교,다른 종교,†게르만 종교,"신화--게르만 종교, . . ."
638,293.211,성경과 특정 종교,다른 종교,†게르만 종교,"신과 여신--게르만, . . ."
639,293.23,성경과 특정 종교,다른 종교,†게르만 종교,종말론 - 게르만 종교
640,293.4,성경과 특정 종교,다른 종교,†게르만 종교,"영성--게르만 종교, . . ."
641,294,성경과 특정 종교,다른 종교들,인도 출신의 종교,인도 출신의 종교
642,294.09598,성경과 특정 종교,다른 종교,인도에서 유래된 종교,인도 종교--인도네시아
643,294.3,성경과 특정 종교,다른 종교,인도 출신의 종교,불교
644,294.4,성경과 특정 종교,다른 종교,인도에서 유래된 종교,†자이나교
645,294.5,성경과 특정 종교,다른 종교들,인도 출신의 종교,힌두교
646,294.6,성경과 특정 종교,다른 종교,인도에서 유래된 종교,†시크교
647,295,성경과 특정 종교,다른 종교,"†조로아스터교(마즈다교, 파시교)","†조로아스터교(마즈다교, 파시교)"
648,295.092,성경과 특정 종교,다른 종교,"†조로아스터교(마즈다교, 파시교)","조로아스터교--전기, . . ."
649,295.2,성경과 특정 종교,다른 종교,"†조로아스터교(마즈다교, 파시교)",교리신학-조로아스터교
650,295.35,성경과 특정 종교,다른 종교,"†조로아스터교(마즈다교, 파시교)","신성한 장소--조로아스터교, . . ."
651,295.36,성경과 특정 종교,다른 종교,"†조로아스터교(마즈다교, 파시교)",축제-종교-조로아스터교
652,295.38,성경과 특정 종교,다른 종교,"†조로아스터교(마즈다교, 파시교)",의식-종교-조로아스터교
653,295.63,성경과 특정 종교,다른 종교,"†조로아스터교(마즈다교, 파시교)",조로아스터교-창시자. . .
654,295.82,성경과 특정 종교,다른 종교,"†조로아스터교(마즈다교, 파시교)","신성한 책--조로아스터교, . . ."
655,296,성경과 특정 종교,다른 종교,유태교,유태교
656,296.05,성경과 특정 종교,다른 종교들,유태교,유대교-연재물
657,296[.06],성경과 특정 종교,다른 종교,유태교,조직 및 경영진
658,296.07,성경과 특정 종교,다른 종교들,유태교,"교육, 연구, 관련 주제"
659,296.08,성경과 특정 종교,다른 종교들,유태교,사람들의 그룹
660,296.09,성경과 특정 종교,다른 종교,유태교,"역사, 지리적 처리, 전기"
661,296.1,성경과 특정 종교,다른 종교,유태교,출처
662,296.3,성경과 특정 종교,다른 종교,유태교,"신학, 윤리, 사회 문제에 대한 견해"
663,296.4,성경과 특정 종교,다른 종교들,유태교,"전통, 의식, 공공 서비스"
664,296.6,성경과 특정 종교,다른 종교,유태교,"지도자, 조직, 종교교육, 봉사활동"
665,296.7,성경과 특정 종교,다른 종교들,유태교,"종교적 경험, 생활, 실천"
666,296.8,성경과 특정 종교,다른 종교,유태교,교파와 운동
667,297,성경과 특정 종교,다른 종교,"이슬람교, 바비교, 바하이교","이슬람교, 바비교, 바하이교"
668,297.01,성경과 특정 종교,다른 종교들,"이슬람, 바비교, 바하이 신앙",이슬람-철학
669,297.0207,성경과 특정 종교,다른 종교,"이슬람교, 바비교, 바하이교",이슬람 - 유머러스한 치료
670,297.03,성경과 특정 종교,다른 종교들,"이슬람교, 바비교, 바하이교","이슬람교-백과사전, . . ."
671,297.05,성경과 특정 종교,다른 종교,"이슬람교, 바비교, 바하이교",이슬람교-연재물
672,297[.06],성경과 특정 종교,다른 종교들,"이슬람교, 바비교, 바하이교",조직 및 관리
673,297.07,성경과 특정 종교,다른 종교,"이슬람교, 바비교, 바하이교","교육, 연구, 관련 주제"
674,297.0811,성경과 특정 종교,다른 종교,"이슬람, 바비교, 바하이 신앙",남성--종교--이슬람
675,297.082,성경과 특정 종교,다른 종교,"이슬람교, 바비교, 바하이교",여성--종교--이슬람
676,297.08341,성경과 특정 종교,다른 종교,"이슬람교, 바비교, 바하이교",남학생--종교--이슬람교
677,297.09,성경과 특정 종교,다른 종교,"이슬람교, 바비교, 바하이교","역사, 지리적 처리, 전기"
678,297.1-297.8,성경과 특정 종교,다른 종교,"이슬람교, 바비교, 바하이교",이슬람교
679,297.9,성경과 특정 종교,다른 종교,"이슬람, 바비교, 바하이 신앙",바비즘과 바하이 신앙
680,299,성경과 특정 종교,다른 종교,다른 곳에서는 제공되지 않는 종교,다른 곳에서는 제공되지 않는 종교
681,299.1-299.4,성경과 특정 종교,다른 종교,다른 곳에서는 제공되지 않는 종교,"인도유럽, 셈족, 비셈족 아프로아시아, 북아시아 및 서아시아, 드라비다족 출신 종교"
682,299.5,성경과 특정 종교,다른 종교들,다른 곳에서는 제공되지 않는 종교,동아시아 및 동남아시아 출신의 종교
683,299.6,성경과 특정 종교,다른 종교,다른 곳에서는 제공되지 않는 종교,아프리카 흑인과 아프리카 흑인 혈통에서 유래한 종교
684,299.7,성경과 특정 종교,다른 종교,다른 곳에서는 제공되지 않는 종교,북미 원주민의 종교
685,299.8,성경과 특정 종교,다른 종교,다른 곳에서는 제공되지 않는 종교,남미 원주민의 종교
686,299.9,성경과 특정 종교,다른 종교,다른 곳에서는 제공되지 않는 종교,다른 기원의 종교
687,300,사회 과학,,사회 과학,사회 과학
688,300.1,사회 과학,,사회 과학,철학과 이론
689,300.2,사회 과학,,사회 과학,잡록
690,300.3-300.9,사회 과학,,사회 과학,표준 세분
691,300,사회 과학,"사회 과학, 사회학 및 인류학",사회 과학,사회 과학
692,300.1,사회 과학,"사회 과학, 사회학 및 인류학",사회 과학,철학과 이론
693,300.2,사회 과학,"사회 과학, 사회학 및 인류학",사회 과학,잡록
694,300.3-300.9,사회 과학,"사회 과학, 사회학 및 인류학",사회 과학,표준 하위 구분
695,301,사회 과학,"사회 과학, 사회학 및 인류학",사회학과 인류학,사회학과 인류학
696,301.01,사회 과학,"사회 과학, 사회학 및 인류학",사회학과 인류학,"사회학-철학, . . ."
697,301.03,사회 과학,"사회 과학, 사회학 및 인류학",사회학과 인류학,"사회학--사전, . . ."
698,301.072,사회 과학,"사회 과학, 사회학 및 인류학",사회학과 인류학,사회학-연구
699,301.092,사회 과학,"사회 과학, 사회학 및 인류학",사회학과 인류학,"사회학자, . . ."
700,301.09495,사회 과학,"사회 과학, 사회학 및 인류학",사회학과 인류학,"사회학--그리스, . . ."
701,301.0952,사회 과학,"사회과학, 사회학 및 인류학",사회학과 인류학,"사회학--일본, . . ."
702,301.095693,사회 과학,"사회 과학, 사회학 및 인류학",사회학과 인류학,"사회학--키프로스, . . ."
703,301.0973,사회 과학,"사회 과학, 사회학 및 인류학",사회학과 인류학,"사회학--미국, . . ."
704,301.7,사회 과학,"사회 과학, 사회학 및 인류학",사회학과 인류학,문맹 사회
705,302-307,사회 과학,"사회 과학, 사회학 및 인류학",사회학과 인류학의 특정 주제,사회학과 인류학의 특정 주제
706,302,사회 과학,"사회 과학, 사회학 및 인류학",사회학과 인류학의 특정 주제,사회적 상호 작용
707,303,사회 과학,"사회 과학, 사회학 및 인류학",사회학과 인류학의 특정 주제,사회적 과정
708,304,사회 과학,"사회 과학, 사회학 및 인류학",사회학과 인류학의 특정 주제,사회적 행동에 영향을 미치는 요인
709,305,사회 과학,"사회 과학, 사회학 및 인류학",사회학과 인류학의 특정 주제,사람들의 그룹
710,306,사회 과학,"사회 과학, 사회학 및 인류학",사회학과 인류학의 특정 주제,문화와 제도
711,307,사회 과학,"사회과학, 사회학 및 인류학",사회학과 인류학의 특정 주제,커뮤니티
712,310,사회 과학,통계,일반 통계 수집,일반 통계 수집
713,310.723,사회 과학,통계,일반 통계 수집,통계(컬렉션)--기술적 연구
714,310.92,사회 과학,통계,일반 통계 수집,통계(컬렉션)--전기
715,310[.94-310.99],사회 과학,통계,일반 통계 수집,"현대 세계의 특정 대륙, 국가, 지역"
716,314-319,사회 과학,통계,"현대 세계의 특정 대륙, 국가, 지역에 대한 일반 통계","현대 세계의 특정 대륙, 국가, 지역에 대한 일반 통계"
717,314,사회 과학,통계,"현대 세계의 특정 대륙, 국가, 지역에 대한 일반 통계",유럽의 일반 통계
718,315,사회 과학,통계,"현대 세계의 특정 대륙, 국가, 지역에 대한 일반 통계",아시아 일반통계
719,316,사회 과학,통계,"현대 세계의 특정 대륙, 국가, 지역에 대한 일반 통계",아프리카의 일반 통계
720,317,사회 과학,통계,"현대 세계의 특정 대륙, 국가, 지역에 대한 일반 통계",북미의 일반 통계
721,318,사회 과학,통계,"현대 세계의 특정 대륙, 국가, 지역에 대한 일반 통계",남미의 일반 통계
722,319,사회 과학,통계,"현대 세계의 특정 대륙, 국가, 지역의 일반 통계","오스트랄라시아, 태평양 섬, 대서양 섬, 북극 섬, 남극 대륙의 일반 통계"
723,320,사회 과학,정치 과학,정치학(정치 및 정부),정치학(정치 및 정부)
724,320.01,사회 과학,정치 과학,정치학(정치 및 정부),철학과 이론
725,320.02-320.08,사회 과학,정치 과학,정치학(정치 및 정부),표준 하위 구분
726,320.09,사회 과학,정치 과학,정치학(정치 및 정부),"역사, 지리적 처리, 전기"
727,320.1,사회 과학,정치 과학,정치학(정치 및 정부),상태
728,320.3,사회 과학,정치 과학,정치학(정치 및 정부),비교정부
